,Title,Published_date,Views,Likes,Comments,Month
165,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11027,344,70,Jun
166,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,22808,668,146,Jun
167,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5677,156,53,Jun
168,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,66034,2077,266,May
169,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20926,489,81,May
170,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,52731,1891,176,May
171,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11200,178,55,May
172,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,115830,4079,193,May
173,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3096,146,115,May
174,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4441,153,74,May
175,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1385639,48926,2000,May
176,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5399,195,42,May
177,What You Need to Know for a Data Science Internship,2020-05-01,20100,1126,61,May
178,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8245,348,54,Apr
179,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14957,460,103,Apr
180,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3063,85,24,Apr
181,5 Tips for Crushing the Work From Home Life,2020-04-20,5360,201,38,Apr
182,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,18477,684,126,Apr
183,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,25951,689,97,Apr
184,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,39389,842,152,Apr
185,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,65668,1787,210,Apr
186,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,71254,1628,261,Apr
187,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,108390,3129,606,Apr
188,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,162902,4409,162,Apr
189,When Data Science Goes Wrong,2020-03-30,1790,105,32,Mar
190,How to ULTRALEARN Data Science,2020-03-27,61108,3810,167,Mar
191,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4336,266,50,Mar
192,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12393,457,45,Mar
193,The Secret Data Scientists Don't Want You to Know,2020-03-16,10570,1136,105,Mar
194,The 5 Stages of Learning Data Science,2020-03-13,17269,1288,78,Mar
195,Can You Learn Data Science Without a Computer?,2020-03-11,1542,106,14,Mar
196,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,338815,20918,616,Mar
197,The Data Science Projects that Got Me a Job,2020-03-06,39872,1382,41,Mar
198,How to Integrate Data Science into Your Business,2020-03-02,3345,127,18,Mar
199,The Problem with Data Science,2020-02-28,3757,155,19,Feb
200,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1133,45,16,Feb
201,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,116274,2289,99,Feb
202,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,316514,17469,519,Feb
203,Data Science Advice for College Students,2020-02-14,68500,1953,197,Feb
204,Avoid These Data Science Resume Mistakes!,2020-02-10,27483,1215,60,Feb
205,Data Science Explained with ... Cooking?,2020-02-07,4984,304,48,Feb
206,The 4 Types of Sports Analytics Projects,2020-02-03,28002,934,60,Feb
207,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,569,18,13,Jan
208,How I Learned Data Science,2020-01-27,93113,2664,210,Jan
209,What is Sports Analytics Really?,2020-01-20,19859,585,73,Jan
210,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,108958,3095,583,Jan
211,How To Learn Programming for Data Science [3 Steps],2020-01-13,29717,1972,96,Jan
212,Data Science Fundamentals: SQL Queries,2020-01-10,6129,208,34,Jan
213,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3066,148,14,Jan
214,The 9 Books That Changed My Perspective in 2019,2020-01-03,3344,179,25,Jan
215,The Data Science Interview: What to Expect,2019-12-30,8282,372,32,Dec
216,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Dec
217,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,15808,559,90,Dec
218,Collision Course: Sports Betting + Data Science,2019-12-20,16091,473,27,Dec
219,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100468,2936,205,Dec
220,5 Sports Analytics Books to Get You Started,2019-12-13,10161,382,57,Dec
221,Math Needed for Mastering Data Science,2019-12-09,55487,2839,225,Dec
222,The 5 Stages of Data Science Adoption,2019-12-06,1292,68,17,Dec
223,How YOU Can Land a Sports Analytics Job,2019-12-02,66098,2955,227,Dec
224,Data Science Fundamentals: Linear Regression,2019-11-29,6170,170,42,Nov
225,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,992,49,12,Nov
226,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5714,261,26,Nov
227,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45553,1739,80,Nov
228,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5882,136,31,Nov
229,Why Selling Is An Important Data Science Skill,2019-11-04,1593,79,13,Nov
230,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2722,72,18,Oct
231,Why is Balance Important in Data Science?,2019-10-16,691,32,13,Oct
232,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11635,577,54,Sep
233,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3625,113,31,Sep
234,6 Habits of Successful Data Scientists,2019-09-13,2161,94,17,Sep
235,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4175,95,9,Sep
236,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,517,24,29,Aug
237,Is Data Science Right For You?,2019-08-18,49655,1158,109,Aug
238,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14333,382,55,Aug
239,How To Get Data Science Experience (Without a Job),2019-08-08,28835,1374,75,Aug
240,Take Your Data Science Projects From Good to Great,2019-08-05,1580,107,11,Aug
241,The Projects You Should Do To Get A Data Science Job,2019-07-30,147323,5648,252,Jul
242,What Does a Data Scientist Actually Do?,2019-07-19,34930,1172,81,Jul
243,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12565,345,42,Jul
244,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17267,516,61,Jul
245,Data Science: Pros and Cons,2019-06-30,5089,212,18,Jun
246,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,23883,1164,89,Jun
247,My Top 5 Data Science Internship Tips,2019-06-15,11539,478,22,Jun
248,Golf STATS: Strokes Gained Explained,2019-06-07,6887,144,28,Jun
249,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,607,44,5,May
250,What I Learned From My Three Degrees,2019-05-17,1230,60,12,May
251,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25533,1065,68,May
252,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1221,40,2,May
253,Should You Learn R for Data Science?,2019-04-25,20050,543,69,Apr
254,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46089,853,336,Apr
255,Work From Home Data Scientist: Day in the Life,2019-04-12,27962,760,103,Apr
256,Where to Look for Data Science Jobs,2019-03-29,2980,120,9,Mar
257,Data Science: Startup vs. Large Corporation,2019-03-21,2075,75,4,Mar
258,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5986,168,26,Mar
259,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4120,179,15,Mar
260,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,785,33,12,Mar
261,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1407,35,8,Mar
262,Where YOU Should Start With Data Science Projects,2019-02-19,15620,324,17,Feb
263,Watch This Before Applying to Data Science Jobs,2019-02-04,1470,66,13,Feb
264,My Top 5 Data Science Resources for 2019,2019-01-05,3659,120,17,Jan
265,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,822,37,6,Dec
266,The Best Way to Predict NBA Minutes Played,2018-12-11,4084,106,14,Dec
267,Demystifying Data Science Roles,2018-11-30,1116,52,5,Nov
268,How to Simulate NBA Games in Python,2018-11-19,17179,386,54,Nov
269,Should You Get A Masters in Data Science?,2018-11-14,20396,304,141,Nov
270,How I Became A Data Scientist From a Business Background,2018-11-12,6333,197,23,Nov
271,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8443,191,17,Jul
272,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18606,290,41,Nov
